Fecha,Producto,Cantidad,Precio_Unitario,Venta_Total,Ganancia,Inventario
2026-01-06 00:00:00,Teclado,8,50,400,200,98
2026-01-15 00:00:00,Monitor,6,300,1800,720,15
2026-01-11 00:00:00,Teclado,6,50,300,150,86
2026-01-03 00:00:00,Teclado,6,50,300,150,47
2026-01-06 00:00:00,Teclado,8,50,400,200,38
2026-01-10 00:00:00,Laptop,9,1200,10800,3600,18
2026-01-15 00:00:00,Monitor,3,300,900,360,75
2026-01-12 00:00:00,Mouse,5,25,125,75,98
2026-01-02 00:00:00,Cámara Web,9,80,720,315,22
2026-01-05 00:00:00,Mouse,9,25,225,135,75
2026-01-14 00:00:00,Monitor,10,300,3000,1200,30
2026-01-06 00:00:00,Teclado,5,50,250,125,6
2026-01-01 00:00:00,Laptop,10,1200,12000,4000,72
2026-01-15 00:00:00,Cámara Web,4,80,320,140,96
2026-01-05 00:00:00,Mouse,9,25,225,135,16
2026-01-11 00:00:00,Laptop,5,1200,6000,2000,46
2026-01-01 00:00:00,Laptop,1,1200,1200,400,60
2026-01-03 00:00:00,Cámara Web,6,80,480,210,44
2026-01-07 00:00:00,Teclado,1,50,50,25,43
2026-01-14 00:00:00,Cámara Web,5,80,400,175,75
2026-01-07 00:00:00,Laptop,8,1200,9600,3200,60
2026-01-13 00:00:00,Monitor,8,300,2400,960,82
2026-01-13 00:00:00,Cámara Web,6,80,480,210,94
2026-01-06 00:00:00,Mouse,8,25,200,120,100
2026-01-05 00:00:00,Mouse,5,25,125,75,23
2026-01-02 00:00:00,Cámara Web,5,80,400,175,74
2026-01-15 00:00:00,Mouse,1,25,25,15,47
2026-01-03 00:00:00,Monitor,10,300,3000,1200,98
2026-01-15 00:00:00,Mouse,2,25,50,30,86
2026-01-13 00:00:00,Monitor,2,300,600,240,49
2026-01-02 00:00:00,Cámara Web,3,80,240,105,48
2026-01-10 00:00:00,Teclado,3,50,150,75,25
2026-01-08 00:00:00,Laptop,10,1200,12000,4000,27
2026-01-09 00:00:00,Monitor,1,300,300,120,27
2026-01-14 00:00:00,Laptop,1,1200,1200,400,97
2026-01-01 00:00:00,Cámara Web,4,80,320,140,21
2026-01-05 00:00:00,Cámara Web,9,80,720,315,43
2026-01-06 00:00:00,Mouse,9,25,225,135,31
2026-01-09 00:00:00,Teclado,3,50,150,75,22
2026-01-14 00:00:00,Monitor,5,300,1500,600,43
2026-01-05 00:00:00,Laptop,10,1200,12000,4000,5
2026-01-06 00:00:00,Monitor,4,300,1200,480,12
2026-01-02 00:00:00,Laptop,6,1200,7200,2400,94
2026-01-01 00:00:00,Mouse,1,25,25,15,96
2026-01-08 00:00:00,Laptop,1,1200,1200,400,80
2026-01-12 00:00:00,Mouse,9,25,225,135,69
2026-01-06 00:00:00,Teclado,9,50,450,225,43
2026-01-05 00:00:00,Laptop,4,1200,4800,1600,26
